reference;montant;date_emission;status;pin;notify;login_agent;num_client;nom_benificiair;prenom_benificiair;telephone_benificiair
Kentucky;7182;2022-01-17;Investment;99701;true;56354;99553;dsfss;sdfsdf;322334
B2B;83454;2022-01-17;cross-platform grow;1914;true;78266;38347;dsfss;sdfsdf;322334
internet;73402;2022-01-16;Innovative SQL Checking;97190;false;3216;94816;dsfss;sdfsdf;322334
Loan Strategist;76616;2022-01-17;compressing e-tailers;98576;true;36496;83128;dsfss;sdfsdf;322334
virtual;10624;2022-01-17;synthesizing cross-platform 4th;7729;true;8602;55302;dsfss;sdfsdf;322334
Pizza Facilitator;39480;2022-01-17;Forest Fantastic;28653;false;39242;14924;dsfss;sdfsdf;322334
Island optical olive;83844;2022-01-17;Clothing full-range;91887;true;83746;27839;dsfss;sdfsdf;322334
maximize connect;14899;2022-01-17;multi-byte mindshare optical;49356;false;39088;55084;dsfss;sdfsdf;322334
e-business Gardens Planner;69647;2022-01-17;Indonesia;87303;true;1477;98464;dsfss;sdfsdf;322334
Producer;10459;2022-01-17;Facilitator Berkshire;92075;true;82326;74676;dsfss;sdfsdf;322334
